,Títulos,Urls,Precios
10,Xiaomi Redmi 9A Dual SIM 32 GB gris granito 2 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-9a-dual-sim-32-gb-gris-granito-2-gb-ram/p/MLC15927746?pdp_filters=category:MLC1055#searchVariation=MLC15927746&position=8&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,86.890
11,Redmi Note 10s Blue 128gb + Redmi Buds 3 Lite (black),https://articulo.mercadolibre.cl/MLC-967005523-redmi-note-10s-blue-128gb-redmi-buds-3-lite-black-_JM?searchVariation=174246571306#searchVariation=174246571306&position=22&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,234.990
12,Xiaomi Mi 11T Dual SIM 256 GB azul celestial 8 GB RAM,https://www.mercadolibre.cl/xiaomi-mi-11t-dual-sim-256-gb-azul-celestial-8-gb-ram/p/MLC18568499?pdp_filters=category:MLC1055#searchVariation=MLC18568499&position=9&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,379.990
13,Xiaomi Redmi Note 10s 6gb Ram 128gb Rom,https://articulo.mercadolibre.cl/MLC-612946820-xiaomi-redmi-note-10s-6gb-ram-128gb-rom-_JM?searchVariation=94632031271#searchVariation=94632031271&position=23&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,199.990
14,Samsung Galaxy S9 64 GB negro medianoche 4 GB RAM,https://www.mercadolibre.cl/samsung-galaxy-s9-64-gb-negro-medianoche-4-gb-ram/p/MLC9100271?pdp_filters=category:MLC1055#searchVariation=MLC9100271&position=10&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,335.000
15,Xiaomi Redmi Note 10s Gris 128 Gb 6gb Ram Liberado,https://articulo.mercadolibre.cl/MLC-981454497-xiaomi-redmi-note-10s-gris-128-gb-6gb-ram-liberado-_JM?searchVariation=174390094543#searchVariation=174390094543&position=24&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,219.990
16,Xiaomi Pocophone Poco X3 Pro Dual SIM 128 GB bronce metálico 6 GB RAM,https://www.mercadolibre.cl/xiaomi-pocophone-poco-x3-pro-dual-sim-128-gb-bronce-metalico-6-gb-ram/p/MLC17798687?pdp_filters=category:MLC1055#searchVariation=MLC17798687&position=11&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,259.990
17,Xiaomi Redmi Note 10s Dual Sim 128gb/8gb Ram-  Inetshop,https://articulo.mercadolibre.cl/MLC-954934910-xiaomi-redmi-note-10s-dual-sim-128gb8gb-ram-inetshop-_JM?searchVariation=174120215536#searchVariation=174120215536&position=25&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,246.990
18,Xiaomi Pocophone M4 Pro 5G Dual SIM 128 GB cool blue 6 GB RAM,https://www.mercadolibre.cl/xiaomi-pocophone-m4-pro-5g-dual-sim-128-gb-cool-blue-6-gb-ram/p/MLC18706709?pdp_filters=category:MLC1055#searchVariation=MLC18706709&position=12&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,249.990
19,Xiaomi - Redmi Note 10s Eu 6gb Ram + 128gb Memoria Nfc,https://articulo.mercadolibre.cl/MLC-614096738-xiaomi-redmi-note-10s-eu-6gb-ram-128gb-memoria-nfc-_JM?searchVariation=173904569795#searchVariation=173904569795&position=26&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,229.990
20,Xiaomi Poco F3 5G Dual SIM 128 GB negro nocturno 6 GB RAM,https://www.mercadolibre.cl/xiaomi-poco-f3-5g-dual-sim-128-gb-negro-nocturno-6-gb-ram/p/MLC17875205?pdp_filters=category:MLC1055#searchVariation=MLC17875205&position=13&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,429.990
21,Redmi Note 10s 6gb Ram 128gb Rom,https://articulo.mercadolibre.cl/MLC-973247131-redmi-note-10s-6gb-ram-128gb-rom-_JM?searchVariation=174309806599#searchVariation=174309806599&position=27&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,199.990
22,Huawei P30 Lite 128 GB midnight black 4 GB RAM,https://www.mercadolibre.cl/huawei-p30-lite-128-gb-midnight-black-4-gb-ram/p/MLC14797290?pdp_filters=category:MLC1055#searchVariation=MLC14797290&position=14&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,220.000
23,Xiaomi Redmi Note 10s 128gb Rom 6gb Ram Blanco,https://articulo.mercadolibre.cl/MLC-627946388-xiaomi-redmi-note-10s-128gb-rom-6gb-ram-blanco-_JM?searchVariation=90400464244#searchVariation=90400464244&position=28&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,249.990
24,iPhone 11 Pro 64 GB gris espacial,https://www.mercadolibre.cl/iphone-11-pro-64-gb-gris-espacial/p/MLC15150713?pdp_filters=category:MLC1055#searchVariation=MLC15150713&position=15&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,999.990
25,Redmi Note 10s 128g/6g + Mi True Wireless Earphones 2 Basic,https://articulo.mercadolibre.cl/MLC-620669256-redmi-note-10s-128g6g-mi-true-wireless-earphones-2-basic-_JM?searchVariation=173816666573#searchVariation=173816666573&position=29&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,239.990
26,Samsung Galaxy A22 Dual SIM 128 GB white 4 GB RAM,https://www.mercadolibre.cl/samsung-galaxy-a22-dual-sim-128-gb-white-4-gb-ram/p/MLC18329739?pdp_filters=category:MLC1055#searchVariation=MLC18329739&position=16&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,219.990
27,Redmi Note 10s 64gb + Mi Smartband 6,https://articulo.mercadolibre.cl/MLC-966958684-redmi-note-10s-64gb-mi-smartband-6-_JM?searchVariation=174246082560#searchVariation=174246082560&position=30&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,359.980
28,"Xiaomi Redmi Note 10s, Nuevos, Sellados Y Liberados",https://articulo.mercadolibre.cl/MLC-901793990-xiaomi-redmi-note-10s-nuevos-sellados-y-liberados-_JM?searchVariation=173561529662#searchVariation=173561529662&position=31&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,229.990
29, Moto G20 128 GB verde petróleo 4 GB RAM,https://www.mercadolibre.cl/moto-g20-128-gb-verde-petroleo-4-gb-ram/p/MLC18606484?pdp_filters=category:MLC1055#searchVariation=MLC18606484&position=17&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,138.000
30,Xiaomi Redmi Note 10s Dual Sim 128 Gb Blanco Piedra 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-983160983-xiaomi-redmi-note-10s-dual-sim-128-gb-blanco-piedra-6-gb-ram-_JM?searchVariation=174404984666#searchVariation=174404984666&position=32&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,233.990
31,Introtech IT-SG02-3G Dual SIM 3 MB negro 128 MB RAM,https://www.mercadolibre.cl/introtech-it-sg02-3g-dual-sim-3-mb-negro-128-mb-ram/p/MLC17376227?pdp_filters=category:MLC1055#searchVariation=MLC17376227&position=18&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,52.990
32,Xiaomi Redmi Note 10s Dual Sim 128 Gb Blanco Piedra 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-974666975-xiaomi-redmi-note-10s-dual-sim-128-gb-blanco-piedra-6-gb-ram-_JM?searchVariation=174322885647#searchVariation=174322885647&position=33&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,219.990
33,Xiaomi Redmi Note 10S Dual SIM 128 GB gris ónix 8 GB RAM,https://www.mercadolibre.cl/xiaomi-redmi-note-10s-dual-sim-128-gb-gris-onix-8-gb-ram/p/MLC18027046?pdp_filters=category:MLC1055#searchVariation=MLC18027046&position=50&search_layout=stack&type=product&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,297.990
34,Xiaomi Redmi Note 10s Dual Sim 128 Gb Blanco Piedra 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-918489533-xiaomi-redmi-note-10s-dual-sim-128-gb-blanco-piedra-6-gb-ram-_JM?searchVariation=173779789801#searchVariation=173779789801&position=34&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,229.990
35,Celular Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-974656159-celular-redmi-note-10s-_JM?searchVariation=174321665802#searchVariation=174321665802&position=35&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,180.000
36,Xiaomi Redmi 10s,https://articulo.mercadolibre.cl/MLC-967980281-xiaomi-redmi-10s-_JM?searchVariation=174260874500#searchVariation=174260874500&position=36&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,160.000
37,Celular Redmi Note 10s Nuevo Sellado,https://articulo.mercadolibre.cl/MLC-967036688-celular-redmi-note-10s-nuevo-sellado-_JM?searchVariation=174247876439#searchVariation=174247876439&position=37&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,185.000
38,Xiaomi Redmi Note 10s Dual Sim 128 Gb Gris Ónix 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-952438471-xiaomi-redmi-note-10s-dual-sim-128-gb-gris-onix-6-gb-ram-_JM?searchVariation=174094340494#searchVariation=174094340494&position=38&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,225.990
39,Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-955792241-redmi-note-10s-_JM?searchVariation=174130953060#searchVariation=174130953060&position=39&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,180.000
40,"Xiaomi Redmi Note 10s 128gb 6gb Ram Dual Sim, Usado Excelent",https://articulo.mercadolibre.cl/MLC-980185890-xiaomi-redmi-note-10s-128gb-6gb-ram-dual-sim-usado-excelent-_JM?searchVariation=174382244574#searchVariation=174382244574&position=40&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,146.900
41,Celular Xiomi Redmi Note 10s Doble Sim Impecable,https://articulo.mercadolibre.cl/MLC-978867175-celular-xiomi-redmi-note-10s-doble-sim-impecable-_JM?searchVariation=174364201041#searchVariation=174364201041&position=41&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,149.000
42,Xiaomi Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-958447414-xiaomi-redmi-note-10s-_JM?searchVariation=174159215630#searchVariation=174159215630&position=42&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,180.000
43,Xiaomi Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-968084073-xiaomi-redmi-note-10s-_JM?searchVariation=174262099261#searchVariation=174262099261&position=43&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,160.000
44,Xiaomi Redmi Note 10s Dual Sim 128 Gb Blanco Piedra 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-975107144-xiaomi-redmi-note-10s-dual-sim-128-gb-blanco-piedra-6-gb-ram-_JM?searchVariation=174325256943#searchVariation=174325256943&position=44&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,170.000
45,Xiaomi Redmi Note 10s Dual Sim 64 Gb Azul Océano 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-970745791-xiaomi-redmi-note-10s-dual-sim-64-gb-azul-oceano-6-gb-ram-_JM?searchVariation=174289022248#searchVariation=174289022248&position=45&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,140.000
46,Xiaomi Redmi Note 10 S,https://articulo.mercadolibre.cl/MLC-977261302-xiaomi-redmi-note-10-s-_JM?searchVariation=174345413266#searchVariation=174345413266&position=46&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,170.000
47,Celular Xiaomi Redmi 10s. 128 Gb,https://articulo.mercadolibre.cl/MLC-976938058-celular-xiaomi-redmi-10s-128-gb-_JM?searchVariation=174342401482#searchVariation=174342401482&position=47&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,165.000
48,Celular Redmi Note 10s. 128 Gb,https://articulo.mercadolibre.cl/MLC-974004383-celular-redmi-note-10s-128-gb-_JM?searchVariation=174318524267#searchVariation=174318524267&position=48&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,185.000
49,Xiaomi Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-979549458-xiaomi-redmi-note-10s-_JM?searchVariation=174373899382#searchVariation=174373899382&position=49&search_layout=stack&type=item&tracking_id=c52c3136-da34-4e10-8c37-01677ab092a6,100.000
50,Xiaomi Red Mi Note 10 S,https://articulo.mercadolibre.cl/MLC-973177624-xiaomi-red-mi-note-10-s-_JM?searchVariation=174309033468#searchVariation=174309033468&position=1&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,180.000
51,Xiaomi Red Minote /10 S,https://articulo.mercadolibre.cl/MLC-976735993-xiaomi-red-minote-10-s-_JM?searchVariation=174340764065#searchVariation=174340764065&position=2&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,100.000
52,Vendo Redmi Note 10s ,https://articulo.mercadolibre.cl/MLC-979393361-vendo-redmi-note-10s-_JM?searchVariation=174369450913#searchVariation=174369450913&position=3&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,140.000
53,Celular Xaomi Redmi Note 10 S,https://articulo.mercadolibre.cl/MLC-977418990-celular-xaomi-redmi-note-10-s-_JM?searchVariation=174347897808#searchVariation=174347897808&position=4&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,180.000
54,Xiaomi Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-981753598-xiaomi-redmi-note-10s-_JM?searchVariation=174392322398#searchVariation=174392322398&position=5&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,150.000
55,"Celular Xiaomi Note 10s, 128gb",https://articulo.mercadolibre.cl/MLC-984259246-celular-xiaomi-note-10s-128gb-_JM?searchVariation=174415626879#searchVariation=174415626879&position=6&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,160.000
56,Xiaomi Redmi Note 10 S,https://articulo.mercadolibre.cl/MLC-972909806-xiaomi-redmi-note-10-s-_JM?searchVariation=174306149539#searchVariation=174306149539&position=7&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,160.000
57,Celular Xiaomi Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-968585091-celular-xiaomi-redmi-note-10s-_JM?searchVariation=174268149309#searchVariation=174268149309&position=8&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,160.000
58,Xiaomi Redmi Note 10s 128 Gb,https://articulo.mercadolibre.cl/MLC-967852220-xiaomi-redmi-note-10s-128-gb-_JM?searchVariation=174259751728#searchVariation=174259751728&position=9&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,169.990
59,Xiaomi Redmi Note 10s Dual Sim 128 Gb Gris Ónix 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-972906571-xiaomi-redmi-note-10s-dual-sim-128-gb-gris-onix-6-gb-ram-_JM?searchVariation=174305574191#searchVariation=174305574191&position=10&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,180.000
60,Celular Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-967669052-celular-redmi-note-10s-_JM?searchVariation=174257005517#searchVariation=174257005517&position=11&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,170.000
61,Redmi Note 10s Gris,https://articulo.mercadolibre.cl/MLC-980898268-redmi-note-10s-gris-_JM?searchVariation=174386607832#searchVariation=174386607832&position=12&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,155.000
62,Xiaomi Redmi Note 10s Dual Sim 128 Gb Azul Océano 6 Gb Ram,https://articulo.mercadolibre.cl/MLC-983106458-xiaomi-redmi-note-10s-dual-sim-128-gb-azul-oceano-6-gb-ram-_JM?searchVariation=174404314401#searchVariation=174404314401&position=13&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,170.000
63,Celular  Redmi Note 10s,https://articulo.mercadolibre.cl/MLC-982803796-celular-redmi-note-10s-_JM?searchVariation=174402749403#searchVariation=174402749403&position=14&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,150.000
64,Xaomi Note 10s,https://articulo.mercadolibre.cl/MLC-981825521-xaomi-note-10s-_JM?searchVariation=174393180860#searchVariation=174393180860&position=15&search_layout=stack&type=item&tracking_id=cc8dd587-bf39-4cf8-b6b2-191d0d7798f4,170.000
